"global_run_id","run_id","accuracy","sensibilidad","especificidad","kappa","energy_consumed","gen_bacthsize","gen_epochs","gen_lr","gen_act_1","gen_act_2","gen_act_3","initdate","enddate","duration","co2_emissions","meter","cpu_energy","gpu_energy","ram_energy","tracking_mode","gpu_usage","architecture","epochs_reached"
"149b1d4d-9bdf-4719-a444-a33ecf004057",f3a5f5c0-b2bc-42c5-ac1f-2ca3f713d480,67.592354,0,0,0.6399218,0.1200105,64,90,0.001,"","","","2024-03-18T05:44:11","2024-03-18T06:04:11",1200.0,0.019187186,carbontracker,0.0,0.0,0.0,machine,0,alexnet,81
"149b1d4d-9bdf-4719-a444-a33ecf004057","179c7022-2f20-4f80-94ae-37090ce49593",67.592354,0,0,0.6399218,0.10698182,64,90,0.001,"","","","2024-03-18T05:44:12","2024-03-18T06:04:11",1199.0,,openzmeter,0.0,0.0,0.0,machine,0,alexnet,81
"149b1d4d-9bdf-4719-a444-a33ecf004057",a045a6a4-b44a-4777-99fd-44f0f491daeb,67.592354,0,0,0.6399218,0.05455117,64,90,0.001,"","","","2024-03-18T05:44:11","2024-03-18T06:04:10",1199.9733,0.0108837765,eco2ai,0.0,0.0,0.0,process,0,alexnet,81
"149b1d4d-9bdf-4719-a444-a33ecf004057",f3a5f5c0-b2bc-42c5-ac1f-2ca3f713d480,67.592354,0,0,0.6399218,0.104134284,64,90,0.001,"","","","2024-03-18T05:44:11","2024-03-18T06:04:11",1200.0,0.017602282,carbontracker_proc,0.0,0.0,0.0,process,0,alexnet,81
"149b1d4d-9bdf-4719-a444-a33ecf004057",e8bb3dc3-3b8d-43df-943a-f3e9636e9084,67.592354,0,0,0.6399218,0.09103083,64,90,0.001,"","","","2024-03-18T05:44:11","2024-03-18T06:04:12",1200.545,0.017647509,codecarbon,0.020224303,0.054935373,0.01587115,machine,0,alexnet,81
"149b1d4d-9bdf-4719-a444-a33ecf004057",d2998f76-92ae-4960-b1a1-ec1916853ad2,67.592354,0,0,0.6399218,0.081836194,64,90,0.001,"","","","2024-03-18T05:44:11","2024-03-18T06:04:12",1200.913,0.015865011,codecarbon_filter,0.02035099,0.04560394,0.015881265,machine,0,alexnet,81
"167508c4-a726-4278-9286-585e50c1af07","3d456a02-49b2-43c6-97e3-08c950f1a124",67.592354,0,0,0.6399218,0.090684325,64,90,0.001,"","","","2024-03-18T01:54:30","2024-03-18T02:14:26",1195.5779,0.017580336,codecarbon,0.02002296,0.0548554,0.015805965,machine,0,alexnet,81
"167508c4-a726-4278-9286-585e50c1af07",b7e96136-ab02-4226-b780-9af375232cf6,67.592354,0,0,0.6399218,0.100690246,64,90,0.001,"","","","2024-03-18T01:54:30","2024-03-18T02:14:25",1195.0,0.01702012,carbontracker_proc,0.0,0.0,0.0,process,0,alexnet,81
"167508c4-a726-4278-9286-585e50c1af07","196965d5-da4d-4b6b-9bab-5c295a1a70f3",67.592354,0,0,0.6399218,0.05909908,64,90,0.001,"","","","2024-03-18T01:54:30","2024-03-18T02:14:25",1195.0106,0.011791153,eco2ai,0.0,0.0,0.0,process,0,alexnet,81
"167508c4-a726-4278-9286-585e50c1af07",b7e96136-ab02-4226-b780-9af375232cf6,67.592354,0,0,0.6399218,0.12339869,64,90,0.001,"","","","2024-03-18T01:54:30","2024-03-18T02:14:25",1195.0,0.019759906,carbontracker,0.0,0.0,0.0,machine,0,alexnet,81
